单词,音标,中文解释,是否为初中单词
send,send,"vi.  寄信； 派人
vt. 发送，寄；派遣，打发；促使，使进入；发送，发射",True
sense,sens,"v.  觉得， 意识到
n. 感官，官能；感觉；判断力；意义，意思",True
sentence,ˈsentəns,"n. [语][计] 句子，命题；宣判，判决
v. 判决，宣判",True
separate,ˈseprət,v.  使分离， 使分开； 划分， 区分， 区别； 分离， 分开； 分居； 使分离， 使分开； 划分， 区分， 区别； 分离， 分开； 分居,True
September,sep'tembə(r),n. 九月(略作Sep),True
serious,ˈsɪəriəs,adj.  严重的， 危急的； 重要的， 重大的； 认真的， 严肃的， 庄重的,True
serve,sɜ:v,"vi.  服务， 供职， 服役； 伺候， 招待， 接待； 有用， 用作， 起…作用， 适合； 发球
vt. 为…服务；任；接待；为…端上；符合，适用于，满足；供应；度过；发",True
service,ˈsɜ:vɪs,"n. 服务；保养；公共设施，公用机构，政府部门；服务，劳务，业务；维修，保养
vt.  维修， 保养； 向…提供服务",True
set,set,"n. [数] 集合；一套；布景；[机] 装置
v. 树立；点燃；点缀；
adj. 固定的；规定的；固执的",True
seven,ˈsevn,"num. 七个，七
n. 七个，七
adj. 七的；七个的",True
seventeen,ˌsevnˈti:n,"n. 十七，十七个
adj. 十七岁的；十七的，十七个的
num. 十七",True
seventh,ˈsevnθ,"n. 第七；七分之一
adj. 第七的；七分之一的
adv. 居第七位地",True
seventy,ˈsevnti,"n. 七十；七十个；七十岁；七十年代
adj. 七十的；七十个的；七十岁的
num. 七十",True
several,ˈsevrəl,"adj. 几个的；各自的
pron. 几个；数个",True
shake,ʃeɪk,n&v.  [shook-shaken] 摇动， 摇； 颤抖， 震动,True
shall,ʃəl,modal verb. 〔某事〕必定，一定〔发生〕,True
shame,ʃeɪm,"v.  使蒙受羞辱
n. 羞耻，羞愧；可耻的人；遗憾的事，可惜",True
shape,ʃeɪp,"n. 形状，外形，样子；体形，身材；形式；幻象；情况，状况
vt.  使成为…形状， 塑造； 决定…的形成",True
share,ʃeə(r),"v. 分享，分担；分摊，分开
n.  一份； 份儿， 股份",True
she,ʃi,"pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等）
n. 女人；雌性动物",True
sheep,ʃi:p,n. 羊，绵羊；胆小鬼,True
shelf,ʃelf,n. 架子；搁板；搁板状物；暗礁,True
shine,ʃaɪn,"v. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计",True
ship,ʃɪp,"v. 运送，乘船；以船运送
n. 船；舰；太空船",True
shirt,ʃɜ:t,n. 衬衫；汗衫，内衣,True
shoe,ʃu:,"n. 鞋；蹄铁；外胎
v. 给……穿上鞋；穿……鞋",True
shop,ʃɒp,n.  商店， 店铺； 工厂， 车间,True
shopping,ˈʃɒpɪŋ,"n. 购物，买东西
v. 购物（shop的ing形式）",True
short,ʃɔ:t,"adj. 短的；不足的；矮的，低的
n. 短；缺乏；短路；短裤
adv. 不足；突然；唐突地",True
shorts,ʃɔ:ts,n. (pl) 短裤,True
should,ʃʊd,modal verb. 应当，应该 〔用于提供或征求建议〕,True
shoulder,ˈʃəʊldə(r),"n. 肩，肩膀；肩部
v. 肩负，承担",True
shout,ʃaʊt,"v.  呼喊， 呼叫
n. [C]喊，高声呼喊",True
show,ʃəʊ,"vi.  显现， 显露， 露面； 演出， 放映
n. 表演，节目；演出，上映；展览，展览物，展览会；显示，展示；表面，外观
vt. 给看，显示，出示；引领，带领；教，告知，说明；表明，证明",True
shower,ˈʃaʊə(r),"n. 阵雨；淋浴
vt.  浇， 溅； 倾注， 大量地给予； 淋浴； 下阵雨； 似阵雨般降落",True
shut,ʃʌt,"v.  [shut-shut, shutting]　关闭， 关上； 打烊",True
sick,sɪk,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
v. 使狗去咬；呕吐；追击",True
side,saɪd,n.  面， 侧面， 旁边； 方面； 一方， 一边； 山坡， 坡， 岸,True
sightseeing,ˈsaɪtsi:ɪŋ,"n. 观光；游览
adj. 观光的；游览的
v. 观光（sightsee的ing形式）；游览",True
sign,saɪn,"v.  签名， 签署； 做手势
n. 标记，符号，记号；招牌；姿势，手势；暗语，暗号；征兆，迹象，痕迹",True
silence,ˈsaɪləns,"n. 沉默；寂静；缄默；不谈；无声状态
v. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！",True
silent,ˈsaɪlənt,adj.  寂静的； 沉默的； 无声的， 不发出声音的,True
silk,sɪlk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中",True
silly,ˈsɪli,"adj. 愚蠢的；不明事理的；没头脑的
n. 傻瓜",True
silver,ˈsɪlvə(r),"v.  镀银
n. 银；银器；银币",True
similar,ˈsɪmələ(r),"adj. (to)相似的,类似的",True
simple,ˈsɪmpl,adj.  简单的； 朴素的； 单纯的， 直率的； 迟钝的， 头脑简单的,True
simply,ˈsɪmpli,adv.  简单地， 简明地； 简直； 仅仅， 只； 朴素地， 简朴地,True
since,sɪns,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来",True
sing,sɪŋ,"v. 唱歌；歌颂；鸣叫；呼号
n. 演唱；鸣声；呼啸声",True
singer,ˈsɪŋə(r),n. 歌手，歌唱家,True
single,ˈsɪŋgl,"adj. 单一的；单身的；单程的
n. 一个；单打；单程票
v. 选出",True
sir,sɜ:(r),n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师,True
sister,ˈsɪstə(r),"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的",True
sit,sɪt,"v.  [sat-sat, sitting] 坐， 就座； 坐落， 被安放； 使坐， 使就座",True
situation,ˌsɪtʃuˈeɪʃn,n.  形势， 局面， 处境； 环境， 状况； 位置， 地点， 场所； 职位， 职务,True
six,sɪks,"num. 六，六个
n. 六，六个",True
sixteen,ˌsɪksˈti:n,"adj. 十六的，十六个的
num. 十六",True
sixth,sɪksθ,"n. 月的第六日，（与the连用的）第六个；六分之一
adj. （与 the 连用）第六的，第六个的；六分之一的",True
sixty,ˈsɪksti,num.  六十， 六十个,True
size,saɪz,"n. 大小；尺寸
adj. 一定尺寸的
v. 依大小排列",True
skate,skeɪt,"v. 滑冰；滑过
n. 溜冰；冰鞋",True
skill,skɪl,n.  技能， 技巧， 手艺； 熟巧， 能力,True
skirt,skɜ:t,"n. 裙子
v. 绕过，回避；位于…边缘",True
sky,skaɪ,"n. 天空；顶点
v. 把…投向空中；把…挂得过高",True
sleep,sli:p,n&v.  [slept-slept]　睡,True
sleepy,ˈsli:pi,adj.  想睡的， 困倦的， 瞌睡的,True
slow,sləʊ,"adj. 慢的；减速的；迟钝的
v. 变慢；变萧条
adv. 慢慢地；迟缓地
n. (Slow)人名；(英)斯洛",True
small,smɔ:l,"adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的
adv. 小小地；卑鄙地
n. 小件物品；矮小的人",True
smart,smɑ:t,"adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
n. (Smart)人名；(法)斯马尔；(英、德)斯马特",True
smell,smel,"v. 嗅，闻；有…气味
n. 气味，嗅觉；臭味",True
smile,smaɪl,"v.  微笑， 露出笑容； 笑， 用微笑表示
n. 微笑，笑容",True
smooth,smu:ð,"adj. 顺利的；光滑的；平稳的
v. 使光滑；消除（障碍等）；使优雅；缓和
n. 平滑部分；一块平地
adv. 光滑地；平稳地；流畅地",True
snack,snæk,"n. 小吃，快餐；一份，部分
v. 吃快餐，吃点心",True
snake,sneɪk,"v.  蜿蜒； 弯弯曲曲地行进
n. 蛇",True
snow,snəʊ,"v.  下雪； 用雪覆盖
n. 雪",True
snowy,ˈsnəʊi,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的,True
so,səʊ,"adv. 也，同样〔用于表示刚说过的情况也适用于某人或某物〕
conjunction. 因此，所以
n. 全音阶的第五音",True
society,səˈsaɪəti,n.  社会； 社会团体， 协会， 社； 上流社会， 社交界,True
sock,sɒk,"n. 短袜；一击
v. 重击；给……穿袜
adv. 正着地；不偏不倚地
adj. 非常成功的",True
sofa,ˈsəʊfə,n. 长沙发，沙发,True
soft,sɒft,"adj. 软的，柔软的；温柔的，温和的；软弱的；笨的
adv. 柔软地；温和地
n. 柔性；柔软的东西；柔软部分",True
solar,ˈsəʊlə(r),"adj. 太阳的；日光的；利用太阳光的；与太阳相关的
n. 日光浴室",True
soldier,ˈsəʊldʒə(r),"n. 军人；[昆] 兵蚁；懒汉；一片烤面包
v. 当兵；磨洋工；坚持干；假称害病",True
some,səm,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微",True
somebody,ˈsʌmbədi,"n. 大人物；重要人物
pron. 有人；某人",True
someone,ˈsʌmwʌn,pron.  某人； 重要人物,True
something,ˈsʌmθɪŋ,"pron. 某事；某物
n. 重要的人；值得重视的事
adv. 非常；有点；大约
adj. 大约；有点象",True
sometimes,ˈsʌmtaɪmz,adv.  不时； 有时， 间或,True
somewhere,ˈsʌmweə(r),adv.  在某处， 到某处； 大约， 大概,True
son,sʌn,n. 儿子；孩子（对年轻人的称呼）；男性后裔,True
song,sɒŋ,n.  歌， 歌曲； 鸣声， 歌声,True
soon,su:n,adv. 快；不久，一会儿；立刻；宁愿,True
sorry,ˈsɒri,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）",True
sound,saʊnd,"v. 听（诊）；测量，测…深；使发声；试探；宣告
n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
adv. 彻底地，充分地",True
soup,su:p,"n. 汤，羹；马力
v. 加速；增加马力",True
sour,ˈsaʊə(r),"adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
v. 发酵；变酸；厌烦
n. 酸味；苦事",True
south,saʊθ,"adv. 向南方
adj.  南方的， 南部的， 来自南方的
n. 南，南部",True
southeast,sauθ'i:st,"adv. 向东南
adj.  东南方的， 东南部的， 来自东南的
n. 东南，东南",True
southern,ˈsʌðən,"adj. 南的；南方的
n. 南方人",True
southwest,sauθ'west,"n. 西南方
adj. 西南的
adv. 往西南；来自西南",True
space,speɪs,"n. 空地，场地，场所，区域；空间，面积；太空；篇幅；间隔，距离，空隙；持续时间，期间
vt.  把…隔开",True
spaceship,ˈspeɪsʃɪp,n. [航] 宇宙飞船,True
spare,speə(r),"adj. 闲置的；备用的，外加的；空闲的
v. 省出，抽出；饶恕，赦免；免去；不吝惜
n. 备用品；",True
speak,spi:k,v.  [spoke-spoken] 说话， 讲话； 演说， 发言； 表达意见； 说， 讲；,True
speaker,ˈspi:kə(r),n.  说话者， 发言者， 演讲者； 讲某种语言的人； 扬声器； 代言人,True
special,ˈspeʃl,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的",True
speech,spi:tʃ,n.  说话， 讲话， 演说； 言语， 言论； 说话方式,True
spell,spel,"v. 拼，拼写；意味着；招致；拼成；迷住；轮值
n. 符咒；一段时间；魅力",True
spelling,ˈspelɪŋ,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住",True
spend,spend,v.  [spent-spent] 花费， 用； 花； 度过， 消磨； 消耗， 用尽,True
spirit,ˈspɪrɪt,"n. 精神；心灵；情绪；志气；烈酒
v. 鼓励；鼓舞；诱拐",True
spoon,spu:n,"n. 匙，勺子；一杓的量
v. 用匙舀；使成匙状",True
sport,spɔ:t,"n. 运动；游戏；娱乐；运动会；玩笑
v. 游戏
adj. 运动的",True
spread,spred,"vt. 展开，伸开；散布，蔓延；涂，敷
n.  传播， 蔓延； 幅度， 范围； 涂抹食品的酱； 整版的文章； 差幅； 异期差额， 买卖报价的差额， 差价； 赚头， 毛利； 风险的分散",True
spring,sprɪŋ,"vi. 弹跳；飞快地行动；涌现，突然出现
n. 春天，春季；弹簧，发条；泉，泉源；跳，跃
vt.  突然提出",True
square,skweə(r),"vi.  相符， 一致； 打成平局
adj. 正方形的；成直角的；平方的
n. 广场；正方形；平方
vt. 求…的平方根；使相符，使一致；使打平；使变直；结清",True
stadium,ˈsteɪdiəm,n. 体育场；露天大型运动场,True
stamp,stæmp,"n. 邮票；印记；标志；跺脚
v. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏",True
stand,stænd,v.  [stood-stood] 站， 站立； 坐落， 位于； 继续存在， 保持有效； 处于特定状态,True
standard,ˈstændəd,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的",True
star,stɑ:(r),"n. 星,明星
v. 以星状物装饰,变成演员",True
start,stɑ:t,"vi. 开始，着手；起身，动身，出发；吃惊，惊起
vt. 开始，着手；发动；使发生，引起；开设，创办
n.  开始， 开端， 起点； 出发， 动身； 吃惊， 惊起， 惊跳",True
starve,stɑ:v,v. (使)饿死；饿得要死,True
state,steɪt,"n. 国家；州；情形
v. 规定；声明；陈述
adj. 国家的；州的；正式的",True
station,ˈsteɪʃn,"n. 所；站；台；岗位；身份，地位
vt.  安置； 派驻， 驻扎",True
stay,steɪ,"v. 逗留，暂住；保持，继续是；停止，延缓
n.  逗留， 停留",True
step,step,"n. 步，脚步；步伐；步骤；梯级
v. 踏，踩；走；走，迈步",True
stick,stɪk,"v. 刺，戳，插；粘住，粘贴；放置；卡住
n.  棍， 棒； 手杖",True
still,stɪl,"adv. 仍然；更；静止地
adj. 静止的，不动的；寂静的，平静的；不起泡的
n. 寂静；剧照；蒸馏室
conj. 仍然；但是；尽管如此
v. 蒸馏；使…静止；使…平静下来",True
stomach,ˈstʌmək,"v.  承受， 忍受； 吃得下
n. 胃，胃口；肚子，腹部",True
stone,stəʊn,"n. 石头；结石；[宝] 宝石
adj. 石的，石制的
v. 向扔石块；用石头铺",True
stop,stɒp,"v.  [stopped-stopped, stopping]　停止， 中断； 塞住， 堵塞； 阻止， 阻挠； 逗留， 歇宿",True
store,stɔ:(r),"v.  贮藏， 储备， 存储
n. 商店，店铺；贮存，储备；储备品；仓库",True
storm,stɔ:m,"v.  猛攻， 直捣； 怒气冲冲地走
n. 暴风雨，暴风雪；激动，爆发",True
story,ˈstɔ:ri,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎",True
straight,streɪt,"adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地
n. 直；直线；直男，直女，异性恋者",True
strange,streɪndʒ,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地
n. (Strange)人名；(英)斯特兰奇；(瑞典、塞)斯特朗格",True
stranger,ˈstreɪndʒə(r),n. 陌生人；外地人；局外人,True
strawberry,ˈstrɔ:bəri,n. 草莓；草莓色,True
stream,stri:m,"vi. 流出， 涌
n. 小河， 溪流；流， 一股， 一串",True
street,stri:t,"n. 街道
adj. 街道的",True
strict,strɪkt,adj.  严格的， 严厉的； 严谨的， 精确的， 严密的； 完全的,True
strong,strɒŋ,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地
n. (Strong)人名；(英)斯特朗",True
student,ˈstju:dnt,n.  学生， 学者， 大学生； 研究生,True
studio,ˈstju:diəʊ,n.  工作室， 画室； 摄影室， 演播室， 录音室； 练习室； 电影公司,True
study,ˈstʌdi,"n. 研究 (对某一课题或问题的)；中文释义: 学习 (尤指在家里或放学后的)
词性: v. 中文释义: 学习，攻读",True
stupid,ˈstju:pɪd,"adj. 愚蠢的；麻木的；乏味的
n. 傻瓜，笨蛋",True
subject,ˈsʌbdʒɪkt,"adj. 受…支配的， 取决于…的； 易遭…的
n. 主题，题目；学科，科目；对象；主语
vt.  使服从； 使遭受",True
succeed,səkˈsi:d,"vi. 成功；继承，接着发生
vt.  接替， 继承； 继…之后",True
success,səkˈses,n.  成功， 成就， 胜利； 成功的事物， 取得成就的人； 发迹， 兴旺,True
successful,səkˈsesfl,adj. 圆满的；顺利的；成功的,True
such,sʌtʃ,"adv. 那么，如此
pron.   人， 事物
adj. 这样的，那样的",True
sudden,ˈsʌdn,"adj. 突然的，意外的；快速的
n. 突然发生的事",True
suffer,ˈsʌfə(r),"v. 遭受；忍受；经历
n. (Suffer)人名；(意)苏费尔",True
sugar,ˈʃʊgə(r),"n. 糖；食糖；甜言蜜语
v. 加糖于；粉饰",True
suggest,səˈdʒest,vt.  建议， 提议； 表明， 暗示； 使人想到,True
suggestion,səˈdʒestʃən,n.  建议， 意见， 提议； 暗示， 示意， 联想； 细微的迹象,True
summer,ˈsʌmə(r),"n. 夏天，夏季
adj. 夏季的",True
sun,sʌn,"n. 太阳
v. 使晒",True
Sunday,'sʌndi,n. 星期日；礼拜日,True
